Project Name,Department,Annual Report Category,Project Description,IPA Delivery Confidence Assessment,SRO Delivery Confidence Assessment,Departmental Commentary on Delivery Confidence Assessment Rating,Start Date,End Date,Schedule Narrative,"Financial Year Baseline (£m, Presented in 2024/25 Real Prices)","Financial Year Forecast (£m, Presented in 2024/25 Real Prices)",Financial Year Variance (%),In Year Variance Narrative,"Whole Life Cost (£m, Presented in 2024/25 Real Prices)",Costs Narrative,"Benefits (£m, Presented in 2024/25 Real Prices)",Benefits Narrative,Evaluation Plan and Registry Link,Senior Responsible Owner (SRO) Name,Major Projects ID
NEW STYLE OF INFORMATION TECHNOLOGY DEPLOYED,MOD,Information and Communications Technology (ICT),"The Programme aims to deliver a MOD-owned, highly secure, technologically advanced and evolutionary communications and information service that connects war-fighters and enables information advantage across the operational landscape.  It will provide operational commanders in the Maritime and Land environments with a modern enduring mission configurable command and control IT system that will deliver the operational services that they require at OFFICIAL, SECRET and Mission SECRET classifications.   The in-house delivery of this new system known as OpNET will replace multiple deployable IT systems and will allow the MOD to extract itself from expensive monolithic support contracts.",RED,,"Compared to financial year 24/25 Q4, the NISTA/SRO Delivery Confidence Assessment (DCA) rating at 25/26 Q4 remained at Red. This is primarily due to the following factors. 
1. The programme is currently operating 12 months behind schedule in delivering capability to the Maritime and Land sectors. 
2. The delays stem from overly optimistic planning assumptions, ongoing resource and funding constraints, all of which have contributed to increased costs.  
3. Delivery to the Land environment is now largely complete, with transition from legacy systems to OpNET expected by end of May 2026.  
4. Maritime delivery has gained momentum,  however, installation timelines remain constrained by vessel availability.
5. The programme is currently being reset with a reduced scope to ensure it can deliver within budget.",01/04/2015,31/03/2029,"Compared to financial year 24/25-Q4, the programmes end-date at 25/26-Q4 increased from 31/03/2029 to 30/04/2030.  This is primarily due to the following factors. 
1. Delays in delivery and the availability of Navy platforms for OpNET to be installed.",114.02,111.26,2.42,The budget variance is less than or equal to 5%,"1,598.79","Compared to financial year 24/25-Q4, the project's departmentally agreed Whole Life Cost at 25/26-Q4 (measured in £m) remained at £1399M.",,"Compared to financial year 24/25-Q4, the project's departmental-agreed monetised benefits at 25/26-Q4 remained at 0m",,Jason Gnaneswaran,MOD_0109_1617-Q2
Mobile Fires Platform,MOD,Military Capability,"The Mobile Fires Platform (MFP) Project will deliver the long-term solution for the British Army’s Close Support artillery requirement through the procurement of the Boxer-based Remote Controlled Howitzer 155mm (RCH155). This platform represents a transformative advancement in artillery systems that will enhance the operational effectiveness and mobility of the modern British Armed Forces. MFP will be 52-cal 155mm all weather, day and night capable, automated, self-propelled gun, flexible enough to support an Army that is more precise, more lethal and agile in global operations.",AMBER,,"The NISTA/SRO Delivery Confidence Assessment (DCA) rating at 25/26-Q4 is AMBER. This is due to the following factors. 
1. The Mobile Fires Platform (MFP) Project aims to deliver a Minimal Deployable Capability (MDC) to the British Army by the end of the decade. This time frame leads to some MDC delivery risks reflected by the AMBER assessment. 
2. Risks have appropriate mitigation plans and senior-level support for escalation and resolution.",,Exempt under Section 43 - Commercial interests,The programme's end date at 25/26-Q4 remains undetermined. The MFP programme remains on track to deliver a Minimal Deployable Capability to the British Army by the end of the decade.,Exempt under Section 43 – Commercial interests​,Exempt under Section 43 – Commercial interests​,Exempt under Section 43 – Commercial interests​,Exempt under Section 43 – Commercial interests​,Exempt under Section 43 - Commercial interests,Exempt under Section 43 - Commercial interests,,The project's departmentally agreed Benefits at 25/26-Q4 (measured in £m) remained at 0. This is primarily due to the following factors. Benefits of the MFP Project are principally non-monetised.,,Christopher Cutts,MOD_0527_2526-Q1
FLEET SOLID SUPPORT,MOD,Military Capability,"Fleet Solid Support will deliver three auxiliary ships to provide stores, ammunition and food sustainment to Naval Forces at Sea.",,AMBER,"Compared to financial year 24/25 Q4, the NISTA/SRO Delivery Confidence Assessment (DCA) rating at 25/26 Q4 remained at Amber. This is primarily due to the following factors.
1. The Fleet Solid Support programme has continued to make steady progress in the 2025/6 reporting year with the Critical Design Review milestone achieved in late 2025 ahead of formal cut steel for RFA Resurgent (ship 1) on 03 Dec 25. 
2. The programme is now firmly in production with blocks started at three of the build locations. Navantia UK understanding and growth of capability at the yards they now operate, post Harland and Wolff takeover, has progressed.
3.  The major part of the infrastructure investment agreed as part of the FSS contract is now nearing completion.  
4. Areas of concern remain the supply chain, team resourcing and the longer-term issue of the crewing of the ships which at present will likely slow the entry into service 

",14/03/2016,28/07/2033,"Compared to financial year 24/25-Q4, the project's end-date at 25/26-Q4 remained the same at 31/03/2033. ",285.51,334.12,17.02,"The budget variance exceeds 5%. This is primarily due to the following factors. 
1. The In Year variance (over-spend) is driven by the contractor regaining pace against the milestone payment plan that has lagged in previous years. This is particularly the case where the infrastructure investment that had stalled before the Navantia UK takeover of Harland and Wolff, is now nearing completion for the major elements including the automated panel line.",Exempt under Section 43 - Commercial interests,Exempt under Section 43 - Commercial interests,,"Compared to financial year 24/25-Q4, the project's departmentally agreed Benefits at 25/26-Q4 (measured in £m) remained at 0. This is primarily due to the following factors. No monetised benefits.",,Mike Gannon ,MOD_0116_1718-Q2
ARMOURED CAVALRY 2025,MOD,Military Capability,"The Armoured Cavalry Programme is central to the Army’s Integrated Review and Future Soldier. It will deliver a multi-role Ground Mounted Crewed Reconnaissance capability, centred on the Ajax family of vehicles and their training and support systems, into service with the British Army. The six Ajax variants deliver a step change in capability compared to current in-service vehicles in the areas of Intelligence, Surveillance, Target Acquisition & Reconnaissance (ISTAR) sensors, multi-domain integration, lethality, protection, and mobility. 589 vehicles will be delivered through a firm-price contract with General Dynamics Land Systems (United Kingdom).",RED,,"Compared to financial year 24/25 Q4, the NISTA/SRO Delivery Confidence Assessment (DCA) rating at 25/26 Q4 decreased to Red. This is primarily due to the following factors. 
1. The programme remains on pause following issues identified during Exercise TITAN STORM, which led to a halt in vehicle acceptance and delivery activities from December 2025. 
2. The current pause has delayed the completion of the Demonstration phase and it is likely that a re-approval will be required post a Ministerial decision regarding the future of the programme. ",04/12/2014,31/03/2030,"Compared to financial year 24/25-Q4, the programme's end-date at 25/26-Q4 remains unchanged 31/03/2030. This is primarily due to the following factors. ",365.34,278.1,23.88,"The in-year varience exceeds 5%. This is primarily due to the following factors. 
1. £40M CDEL was due to lack of Contract Change Proposal progress. The impact of the stop notice has caused additional reductions of c.£44M CDEL related to acceptance of vehicles and knock-on effect to vehicle production. 
2. The RDEL variance is caused by a much lower demand for spares against the GD spares availability service requiring a DEL switch from CDEL to RDEL to apply the correct accounting treatment. There is no increase in the programme value as these reductions have been re-profiled into future years.","8,935.68","Compared to financial year 24/25-Q4, the project's departmentally agreed Whole Life Cost at 25/26-Q4 (measured in £m) decreased from £7505.71M to £7470.12M  This is primarily due to the following factors. 
1. There are no significant changes to the budgeted Whole Life Costs of the programme. Due to the bulk of costs linked to the firm price contract with GD, variances presented in-year are related to reprofiling and therefore no overall impact on the programme.
2. The Armoured Cavalry Programme Approved Budgetary Limit has remained unchanged since 2015. 
 ",,"Compared to financial year 24/25-Q4, the project's departmentally agreed Benefits at 25/26-Q4 (measured in £m) remained at 0. There are no monetised benefits.",,Mark Colley,MOD_0091_1415-Q3
EUROPEAN COMMON RADAR SYSTEM MK 2,MOD,Military Capability,"The Phase 4 Enhancement (P4E) to the Typhoon aircraft includes upgrades to mission management systems, GPS resilience and navigational precision. It also provides the vehicle for the integration of the European Common Radar System (ECRS) Mk2 onto the aircraft. The radar is being developed to enable the aircraft to simultaneously detect, identify and track various targets on land and in the air and is vital to maintain Typhoon’s control of the air. It also provides a new Electronic Warfare capability and sustains Typhoon capability to operate in contested and congested Electromagnetic environments. The programme is being delivered via multiple interdependent contracts. Radar development is being led nationally by the UK, whereas the wider P4E changes to the aircraft systems are being developed with the other Typhoon Partner Nations as part of the international Eurofighter Programme.",,AMBER,"Compared to financial year 24/25 Q4, the NISTA/SRO Delivery Confidence Assessment (DCA) rating at 25/26 Q4 remained at Amber. This is primarily due to the following factors. 
1. The overall radar design schedule has stabilised and has successfully moved into the manufacture phase with confidence growing on production radars being available in 2028 as planned. However, securing an acceptable delivery schedule for P4E from Eurofighter through the NATO Eurofighter and Tornado Management Agency (NETMA), which is essential to embodying the radar, remains a significant challenge for the UK and Partner Nations.
2. Whilst P4E content has been agreed, Partner Nations are working continually with NETMA and Eurofighter to establish a progressive release of capability which meets each nation's operational need without being detrimental to delivery of the overall programme, alongside extensive transformation being pursued within the NETMA and Eurofighter enterprises.",01/02/2019,31/12/2034,"Compared to financial year 24/25-Q4, the programme's end-date at 25/26-Q4 remained the same at 01/08/2032. ",263.95,303.89,15.13,"The budget variance exceeds 5%. This is primarily due to the following factors:
1. The overspend is the result of the reprofiling of P4E Long Lead Time activities and ECRS Mk2 production into FY25/26 to ensure the critical path is maintained.","2,899.01","Compared to financial year 24/25-Q4, the project's departmentally agreed Whole Life Cost at 25/26-Q4 (measured in £m) increased from £2902M to £2930M. This is primarily due to the following factors.
1. Minimal cost growth, principally down to increased Typhoon Defensive Aids Sub-System scope/requirements within P4E.
2. The Programme remains within its Approved Budgetary Level.",,"Compared to financial year 24/25-Q4, the project's departmentally agreed Benefits at 25/26-Q4 (measured in £m) remained at 0. This is primarily due to the following factors.
No monetised benefits.",,Nicholas Lowe,MOD_0137_2122-Q1
E7 WEDGETAIL,MOD,Military Capability,"The E-7 Wedgetail programme will provide a 5th generation Airborne Early Warning and Control (AEW and C) capability, with a Multi-role Electronically Scanned Array sensor, which is interoperable and interchangeable with key allies with an anticipated Out-of-Service date of at least 2042.",,RED,"Compared to financial year 24/25 Q4, the NISTA/SRO Delivery Confidence Assessment (DCA) rating at 25/26 Q4 remained at Red. This is primarily due to the following factors. 
1. Several factors have caused delays to the Programme’s In-Service Date and subsequent milestones. 
2. The delays are the result of contractor performance and schedule optimism bias, challenges within the global supply chain, retention of an appropriately skilled workforce at the modification facility and an increase in certification complexity and requirements. ",08/05/2018,01/07/2030,"Compared to financial year 24/25-Q4, the programme's end-date at 25/26-Q4 remained the same at 31/12/2027. This is primarily due to the following factors. 
1. Although the reported end date remains unchanged from Q4 24/25, milestones are being revised through a programme rebaselining exercise. ",133.12,62.76,52.85,"The budget variance exceeds 5%. This is primarily due to the following factors:
1. The schedule delays in the Programme have led to a reprofiling of the in-year finances leading to a reduced spend this year compared to the budget.","2,128.05","Compared to financial year 24/25-Q4, the project's departmentally agreed Whole Life Cost at 25/26-Q4 (measured in £m) decreased from £1962M to £1937M. This is primarily due to the following factors.
1. Updated estimate of costs following modelling of the latest price proposal.",,"Compared to financial year 24/25-Q4, the project's departmentally agreed Benefits at 25/26-Q4 (measured in £m) remained at 0. This is primarily due to the following factors.
No monetised benefits.",,Mark Butterworth,MOD_0120_2021-Q2
"LAND INTELLIGENCE, SURVEILLANCE, TARGET ACQUISITION AND RECONNAISSANCE (ISTAR)",MOD,Military Capability,"The Land Intelligence, Surveillance, Target Acquisition and Reconnaissance (ISTAR) Programme will deliver an adaptable, robust and agile system that will enable the Army to find the enemy at range in all operational environments. The bedrock of the system will be an open system architecture, designed to be fully integrated with current and future communications and information systems to enable digital integration across the Army, wider Defence, and our primary allies. This will enable a fully networked ISTAR system consisting of multiple sensors, that can be centrally commanded and coordinated. Automation will be used to speed up decision-making and reduce electronic emissions between component parts. The architecture, platforms and sensors required for the system will be developed and acquired separately, with a series of common standards ensuring that they remain compatible with the network.",AMBER,,"Compared to financial year 24/25 Q4, the NISTA/SRO Delivery Confidence Assessment (DCA) rating at 25/26 Q4 increased to Amber. This is primarily due to the following factors. 
1. Delivery of the SRO’s Get Well Plan, including work done by the Programme Design and Integration Office on a digital ecosystem within Defence. This progress was achieved despite challenges with  workforce capacity in the delivery teams and the wider complexities within Defence. 
2.  The improvement on the previous year’s assessment and confirmed by the Dec 2025 NISTA Assurance Review.",25/01/2019,02/05/2033,"Compared to financial year 24/25-Q4, the programme's end-date at 25/26-Q4 remained the same at 31/12/2027. ",79.13,51.8,34.54,"The budget variance exceeds 5%. This is primarily due to the following factors.
1.  The programme did not spend its allocated budget due to delays in four major sub-programmes. 
2. Key external factors were approvals delays, industrial capacity and a dynamic requirement set. Internally, under-resourcing of workforce limited the pace of work and the ability to respond to change.
3. Delays due to contract milestones play a big part in the variance. Delays to approvals pushing profile to the right.  
4. The Watchkeeper Mid-Life Extension project has been deleted from the programme.","1,498.14","Compared to financial year 24/25-Q4, the project's departmentally agreed Whole Life Cost at 25/26-Q4 (measured in £m) decreased from £1878.28M to £1622.50M This is primarily due to the following factors. 
1. The Programme’s Whole Life Cost has reduced overall compared to 12 months ago. The reduction is driven primarily by Defence Board-approved requirement and scope changes, with costings removed in line with updated commissioning instructions. 
2. Further decreases arise from reprofiling of assessment and delivery activity into later years due to approval and negotiation delays, incomplete achievement of system requirements, and delayed receipt of subcontractor software, resulting in Annual Budgeting Cycle impacts largely into Financial Year 26/27. 
3. These reductions are partially offset by increases associated with updated Full Business Case 3 cost models using preferred bidder pricing, which has driven higher upfront support costs to enable accelerated Minimum Deployable Capability delivery, alongside minor revised estimates of cost for additional training requirements. 
4. In addition, an underspend against forecast has been realised due to workforce control measures, particularly within ZODIAC RDEL, contributing to the overall reduction in Whole Life Cost. 
5. Overall, movements reflect disciplined cost control, alignment to approved scope, and realistic reprofiling in line with delivery maturity.",,Compared to financial year 24/25-Q4; the projects departmentally agreed Benefits at 25/26-Q4 (measured in £m) remained at 0.  This is primarily due to the fact that the benefits are not monetised.,,Matthew Birch,MOD_0056_2122-Q3
CHINOOK CAPABILITY SUSTAINMENT PROGRAMME (CSP),MOD,Military Capability,"Chinook Capability Sustainment Programme Tranche 1 will provide a modern and cost effective transformational change to the UK Special User's vertical heavy lift capability with the procurement of 14 new-build Extended Range Chinook aircraft (H-47(ER)). The aircraft will be able to operate and survive in a multitude of environments, conducting high-tempo missions with minimal logistics footprint and high-levels of interoperability with key allies, to beyond 2050.",,AMBER,"Compared to financial year 24/25 Q4, the NISTA/SRO Delivery Confidence Assessment (DCA) rating at 25/26 Q4 remained at Amber. This is primarily due to the following factors. 
1. Continued uncertainty around actual infrastructure cost and schedule (mitigations underway to deliver programme milestones without supporting infrastructure), ability to develop required information solutions that are affordable and deliverable on schedule and, workforce shortages in key areas.
2.  Value engineering is underway to ensure the programme remains affordable.",31/03/2017,31/10/2030,"Compared to financial year 24/25-Q4, the programme's end-date at 25/26-Q4 remained the same at 31/12/2030. This is contingent on mitigations around delivering training ahead of infrastructure delivery.",300.45,239.62,20.24,"The budget variance exceeds 5%. This is primarily due to the following factors. 
1. The budget variance is driven by delays in infrastructure and information systems contracting, maturing costs associated with production and GBP/USD forex rate changes.","1,959.31","Compared to financial year 24/25-Q4, the project's departmentally agreed Whole Life Cost at 25/26-Q4 (measured in £m) increased from £1913.51M to £1948.89M. This is primarily due to the following factors. 
1. The Whole Life Cost forecast is subject to further review due to  Infrastructure cost growth - the scale of which is yet to be determined.  
2. There is similar uncertainty around information systems cost and deliverability that are currently being assessed.",,"Compared to financial year 24/25-Q4, the project's departmentally agreed Benefits at 25/26-Q4 (measured in £m) remained at 0. This is primarily due to the following factors. No monetised benefits.",,David Amlot,MOD_0009_2122-Q2
LIGHTNING PROGRAMME,MOD,Military Capability,"F-35B Lightning is a key element of Combat Air - a 5th Generation combat air vehicle with advanced sensors, mission systems and low observable technology. The F-35B provides real strategic opportunity, and its impressive capability has already been demonstrated and is recognised. It is jointly operated by the RAF and RN from both land and sea, with a main operating base at RAF Marham which currently houses 617 Squadron and 207 Squadron, the Operational Conversion Unit (OCU). The Lightning Force growth through delivering the second squadron, 809 NAS, at RAF Marham is a key dependency for the successful delivery of a critical Defence milestone of Carrier Strike capability.",,GREEN,"Compared to financial year 24/25 Q4, the NISTA/SRO Delivery Confidence Assessment (DCA) rating at 25/26 Q4 increased to GREEN. This is primarily due to the following factors.
1. The Initial Procurement Phase Full Operating Capability has been achieved, the benefits set out in the mandate have been delivered or are on track, and the Programme is now well positioned to transition responsibility to the Responsible Senior Owner and move into the Second Procurement Phase. 
2. The GREEN rating was confirmed at Feb-26's Gateway Level 5 Review where the Review Team concluded that the Initial Procurement Phase of the UK’s F35 Lightning Programme had met its mandate and was ready for Graduation from the GMPP.",01/10/2001,31/03/2026,"Compared to financial year 24/25-Q4, the programme's end-date at 25/26-Q4 remained the same at 31/03/2026.",Exempt under Section 43 – Commercial interests​,Exempt under Section 43 – Commercial interests​,Exempt under Section 43 – Commercial interests​,Exempt under Section 43 – Commercial interests​,Exempt under Section 43 - Commercial interests,Exempt under Section 43 - Commercial interests,,"Compared to financial year 24/25-Q4, the project's departmentally agreed Benefits at 25/26-Q4 (measured in £m) remained at 0. This is primarily due to the following factors.
No monetised benefits.",,Nicholas Lowe,MOD_0079_1213-Q1
MINE HUNTING CAPABILITY,MOD,Military Capability,"Mine Hunting Capability (MHC) will provide an agile, interoperable, and survivable capability using emerging Maritime Autonomous Systems (MAS) that enables strategic, operational, and tactical freedom of manoeuvre and exploitation of the battle space in order to assure and sustain the delivery of Maritime Force Projection and Maritime Security capabilities at the time and place of the UK’s choosing across the range of Standing Commitments and Operations, by defeating static underwater threats.  The aim of MHC is to deliver a managed transition from current Mine Counter Measures Vessels (MCMV) to future MAS capabilities whilst sustaining and, where possible, improving capability delivery to provide military effect in accordance with extant Policy assumptions. The pace and nature of change is dictated by out-of-service dates  for current MCMVs, by affordability issues, and by recognised capability shortfalls measured against an evolving requirement and threat.  The intention is to transform current Mine Counter Measures thinking in order to enable these capabilities to be deployed differently, and more economically and effectively.",,RED,Exempt under Section 27 - International relations,01/10/2014,31/03/2034,"Compared to financial year 24/25-Q4, the programme's end-date at 25/26-Q4 remained the same at 31/03/2034.  ",Exempt under Section 43 – Commercial interests​,Exempt under Section 43 – Commercial interests​,Exempt under Section 43 – Commercial interests​,Exempt under Section 43 – Commercial interests​,Exempt under Section 43 - Commercial interests,Exempt under Section 43 - Commercial interests,,"Compared to financial year 2024/25-Q4, the project's departmental-agreed monetised benefits at 2025/26-Q4 remained at £0m.",,Cdre Michael Wood,MOD_0124_2021-Q4
FUTURE COMBAT AIR SYSTEM,MOD,Military Capability,"The Future Combat Air System (FCAS) programme will identify the combat air system to replace Typhoon, which will retire from service from the mid-2030s. FCAS will be primarily responsible for delivering Control of the Air, and contribute to Attack and Information, Surveillance and Reconnaissance. Military advantage in Combat Air will require a System of highly adaptable and networked capabilities, that together deliver military effects greater than the sum of the parts. Able to operate inside a multi-domain information environment or in isolation, the system will exploit open mission architectures to allow freedom of modification and rapid technology insertion. The System will be enabled through a combination of core platforms, uncrewed additives and complex weapons with the optimal force mix to be determined during the Concept and Assessment Phase. An international programme by design, the UK is working with several international partners to define the longer-term partnership construct for the Enterprise.",RED,,"Compared to financial year 24/25 Q4, the NISTA/SRO Delivery Confidence Assessment (DCA) rating at 25/26 Q4 remained at Red. This is primarily due to the following factors. 
1. The continued Red rating reflects the programme’s relative maturity, its scale and the complexity involved in meeting the challenges of successful design, delivery and support of a 6th generation fighter jet. The immediate focus is securing the necessary multi-year funding and approval settlements that will allow the Global Combat Air Programme (GCAP) to move to the next phase and see the first international development contract between the GCAP Agency and the tri-national Edgewing Joint Venture signed.
2. Other challenges faced by the programme include the design and delivery of a tri-national secure digital network and Collaborative Working Environment that equally supports novel approaches to digital engineering and digital qualification and certification objectives, whilst ensuring cyber resiliency and intellectual property protections.",26/04/2019,Exempt under Section 22 - Information intended for future publication,Exempt under Section 22 - Information intended for future publication,"1,466.97","1,398.74",4.65,The budget variance is less than 5%.,Exempt under Section 43 - Commercial interests,Exempt under Section 43 - Commercial interests,,"Compared to financial year 24/25-Q4, the project's departmentally agreed Benefits at 25/26-Q4 (measured in £m) remained at 0. This is primarily due to the following factors.
No monetised benefits.",,Richard Berthon,MOD_0122_2021-Q4
TYPE 31,MOD,Military Capability,"The Type 31 general purpose frigate programme is designed to deliver a general purpose frigate capability and act as the pathfinder programme for the Government’s National Shipbuilding Strategy. T31 will be at the heart of the Royal Navy’s surface fleet, deterring aggression and maintaining the security of the UK’s interests. They will work alongside our Allies to deliver a credible UK warship presence across the globe. Flexible and adaptable by design, T31 frigates will undertake missions such as interception and disruption of those using the sea for unlawful purposes, collecting intelligence, conducting defence engagement, and assisting those in need.",RED,,"Compared to financial year 24/25 Q4, the NISTA/SRO Delivery Confidence Assessment (DCA) rating at 25/26 Q4 remained at Red. This is primarily due to the following factors‚  
1. Successful delivery to meet the User Requirements remains on track, but the impact of inflation will require a reset of the programme’s Approved Budgetary Limit following announcement of the Defence Investment Plan. 
2. Challenges also remain in the first of class schedule against an ambitious build timeline, and the complex integration challenges.",01/04/2016,31/07/2033,"Compared to financial year 24/25-Q4, the programme end-date at 25/26-Q4 remained the same at 31/05/2030.",Exempt under Section 43 – Commercial interests​,Exempt under Section 43 – Commercial interests​,Exempt under Section 43 – Commercial interests​,Exempt under Section 43 – Commercial interests​,Exempt under Section 43 - Commercial interests,Exempt under Section 43 - Commercial interests,,"Compared to financial year 24/25-Q4, the project's departmentally agreed Benefits at 25/26-Q4 (measured in £m) remained at 0. This is primarily due to the following factors. No monetised benefits.",,Stephen Roberts,MOD_0112_1718-Q1
GROUND BASED AIR DEFENCE (GBAD),MOD,Military Capability,"The Land Ground Based Air Defence (GBAD) programme delivers a modern, integrated air defence capability to protect UK forces and critical assets against evolving air and missile threats. Structured through Capability Uplift Plans (CUPs), the programme balances immediate capability delivery with longer-term transformation. CUP 1 focuses on fielding “no regrets” capabilities already on contract, including enhancements to existing systems. CUP 2 seeks to deliver a more integrated and digitally-enabled force, improving lethality, survivability and interoperability with NATO partners. Future phases will explore further capability evolution, including emerging technologies and alternative force constructs. The programme brings together a range of industry partners, delivery organisations and stakeholders to deliver a coherent, layered defence system, underpinned by modern command and control and a data-centric approach to operations.",AMBER,,"Compared to financial year 24/25 Q4, the NISTA/SRO Delivery Confidence Assessment (DCA) rating at 25/26 Q4 remained at Amber.  This is primarily due to the following factors. 
1. Over the past 12 months, delivery confidence has remained Amber primarily due to challenges associated with the transition from early capability delivery into more complex programme integration. Increased cost pressures, particularly within elements of the short-range air defence capability, have raised affordability concerns against available funding. 
2. In parallel, resource constraints across both the programme team and delivery organisations have impacted the pace of progress and contributed to schedule pressure.
3. Dependencies on wider Defence activity, including infrastructure and investment decisions, have also introduced uncertainty and limited the programme’s ability to progress at the required rate.  
4. Collectively, these factors reflect the growing complexity of delivering an integrated, modernised air defence system, requiring continued alignment of funding, resource and dependencies to support future delivery confidence.",02/07/2018,31/12/2033,"Compared to financial year 24/25-Q4, the programme's end-date at 25/26-Q4 remained the same at 31/12/2033.",239.41,134.66,43.75,"The budget variance exceeds 5%. This is primarily due to the following factors. 
1. Defence financial challenges and internal spend commitment controls have led to a different spend profile to that initially envisaged. 
2. Further complicated by unaffordable cost estimtes for BC 2 SHORAD capability that require furher review and mitigations.","1,454.95","Compared to financial year 24/25-Q4, the project's departmentally agreed Whole Life Cost at 25/26-Q4 (measured in £m) decreased from £2967.59M to £1589.63M. This is due to the programme having undertaken a rebaselining exercise against a revised affordable envelope.  ",,"Compared to financial year 24/25-Q4, the project's departmentally agreed Benefits at 25/26-Q4 (measured in £m) remained at 0. This is primarily due to the following factors. No monetised benefits.",,Christopher (Ed) Cutts,MOD_0144_2122-Q1
JOINT CRYPT KEY PROGRAMME,MOD,Information and Communications Technology (ICT),"Exempt under Section 23 - Information supplied by, or relating to, bodies dealing with security matters","Exempt under Section 23 - Information supplied by, or relating to, bodies dealing with security matters","Exempt under Section 23 - Information supplied by, or relating to, bodies dealing with security matters","Exempt under Section 23 - Information supplied by, or relating to, bodies dealing with security matters","Exempt under Section 23 - Information supplied by, or relating to, bodies dealing with security matters","Exempt under Section 23 - Information supplied by, or relating to, bodies dealing with security matters","Exempt under Section 23 - Information supplied by, or relating to, bodies dealing with security matters","Exempt under Section 23 – Information supplied by, or relating to, bodies dealing with security matters​","Exempt under Section 23 – Information supplied by, or relating to, bodies dealing with security matters​","Exempt under Section 23 – Information supplied by, or relating to, bodies dealing with security matters​","Exempt under Section 23 – Information supplied by, or relating to, bodies dealing with security matters​","Exempt under Section 23 - Information supplied by, or relating to, bodies dealing with security matters","Exempt under Section 23 - Information supplied by, or relating to, bodies dealing with security matters","Exempt under Section 23 - Information supplied by, or relating to, bodies dealing with security matters","Exempt under Section 23 - Information supplied by, or relating to, bodies dealing with security matters","Exempt under Section 23 – Information supplied by, or relating to, bodies dealing with security matters​","Exempt under Section 23 - Information supplied by, or relating to, bodies dealing with security matters",MOD_0111_1718-Q1
NAVAL SUPPORT INTEGRATED GLOBAL NETWORK (NSIGN),MOD,Military Capability,"The Naval Support Integrated Global Network (NSIGN) is the re-provision of the services contracted through Future Maritime Support Programme, specifically Ship and Submarine engineering and key Naval Base enablers. NSIGN consists of 3 projects, Ships Support, Submarine Support and Naval Bases. Whilst NSIGN will continue to develop the market facing transformation (a combination of single source and competition) it will also utilise Defence frameworks wherever possible, expand the scope for Ships to include non-complex, provide choice for how the Royal Navy will operate in the future, and look at project scope boundaries/opportunities where NSIGN could deliver more effectively.",,AMBER,"Compared to financial year 24/25-Q4, the NISTA/SRO Delivery Confidence Assessment rating at 25/26-Q4 remained at Amber. This is primarily due to the following factors. 
1. The NSIGN Programme is rated Amber to reflect that it is delivering progress across all three Projects through the concept and assessment phases, while continuing to face a small number of significant and interrelated challenges. 
2. Progress to date demonstrates a clear strategic direction, increased maturity of user requirements and options, and improved Programme level understanding of dependencies, risks and affordability drivers across the Ships, Submarines and Naval Bases Projects. 
3. On going uncertainty on publication of the Defence Investment Plan creates constraints on long term affordability, limiting the Programme’s ability to fully de-risk subsequent delivery stages at this point.",01/12/2021,29/12/2029,"Compared to financial year 24/25-Q4, the programme's end-date at 25/26-Q4 remained the same at 22/03/2030. This is primarily due to the following factors.
1. The baseline of the programme and the Integrated Programme Schedules support the deliverability assessment, but timelines remain challenging to contract award with programmes meeting either the current Future Maritime Support Programme expiry dates for planned Future Martime Support Programme extensions (in 2026 and 2028).
2. The active close management of Future Maritime Support Programme Extensions alongside the NSIGN activity are key to mitigating the risks to continuity of service delivery.",,,,"Due to the combined nature of the cost model (Submarine, Ships and Naval Base) the figures are not currently available to calculate the In Year variance. Figures will be available once the next business case aligns the elements. Remains within the planned expenditure, noting that Concept Phase activity is confined to Departmental Operating and Legal Costs.","14,352.16","Compared to financial year 24/25-Q4, the project's departmentally agreed Whole Life Cost at 25/26-Q4 (measured in £m) decreased from £20264.02M to £17000.81M. This is primarily due to the following factors. 
1. Programme level Cost Modelling will be finalised on publication of the Defence Investment Plan.
2. The current marginal (<1%) whole life affordability challenge (against a total assessed expenditure of £20bn over 10 years) will be resolved through further cost-modelling and challenge prior to the the NSIGN Ships Invitation to Negotiate (as part of the Outline Business Case approval and Naval Base Outline Business Case and NSIGN Subs Full Business Case in Quarter 1  26/27).",,"Compared to financial year 24/25-Q4, the project's departmentally agreed Benefits at 25/26-Q4 (measured in £m) remained at 0. This is primarily due to the following factors. NSIGN has a clear benefits strategy focussed on improving availability of assets to support defence outcomes. Benefits plans and profiles continue to mature inline with Outline Business Case and Full Business Case submission timelines.",,Gary McCormack,MOD_0136_2122-Q1
